gene_id	target_id
amy2	ENSAPEG00000023094
amy2	
amy2_1	ENSAPEG00000023111
chia	ENSAPEG00000007546
chio	ENSAPEG00000003560
chio_1	ENSAPEG00000003515
chio_2	ENSAPEG00000019467
chio_3	ENSAPEG00000003491
chid	ENSAPEG00000021760
ctbs	ENSAPEG00000004831
gba2	ENSAPEG00000004004
hexa	ENSAPEG00000020294
hexb	ENSAPEG00000000545
hexd	ENSAPEG00000019903
lct	ENSAPEG00000007397
lct_1	ENSAPEG00000006336
lct_2	ENSAPEG00000007156
lyz	ENSAPEG00000021417
si	ENSAPEG00000019603
treh	ENSAPEG00000012979
