"","1S","10S","11S","13S","14S","15S","2S","20S","21S","23S","26S","3S","5S","6S","7S","1P1","10P1","11P1","13P1","14P1","15P1","2P1","20P1","21P1","23P1","26P1","3P1","5P1","6P1","7P1","1P2","10P2","11P2","13P2","14P2","15P2","2P2","20P2","21P2","23P2","26P2","3P2","5P2","6P2","7P2"
"ogdhb**",4.92698132697996,4.1163033630878,4.20295478882712,4.70185585628823,4.18981151271541,4.74958209262363,4.54002389417241,4.51072464745146,4.87012250308541,4.81978556176295,4.61854564156413,4.72820060033311,5.44710374550873,4.2726173569665,4.88028263827595,4.37157018508633,4.3312093589509,4.51803968556001,4.58258375975059,3.80012133396101,4.24321276224726,4.13651720023634,4.41328337621731,4.38821411219805,4.34475478135514,4.13718511529948,3.52492784066745,4.27686721890329,4.40316558436712,4.59154519097824,3.85852841113229,4.3878010536526,4.64640990094023,4.59969048855813,4.59516232298074,5.11599426638114,4.50609097913419,4.98788837544242,4.65542484393681,4.59401503350406,4.49664980906572,4.62812480627068,4.28667151357164,4.66712753814196,4.2463661044808
"ogdhl*",4.53147182474346,5.27362267211084,4.85883056802263,5.06218027413051,5.06097392379873,4.92343654935711,4.30435626018802,4.79460058659842,4.78464261583193,4.89813621570552,5.0742436070091,4.57782713822867,5.17099632688224,4.85954819569229,5.13033374288674,4.94799801548806,4.60634174264047,4.25595404419747,4.66035134433818,4.95278914860606,4.57762100035274,4.57334274573511,4.25586257315699,4.51082393049819,4.23386121692726,4.33408600180364,4.60358081365803,4.37288286975146,4.07590717745243,4.41727387023984,4.77705621921086,5.22343042371198,4.89839411597363,5.03323369978448,4.9524978756938,3.60706343122516,5.17973090806341,5.45643002680064,4.75811531646365,5.46510626638249,5.16717265878477,5.0599895731082,4.38332062258724,5.04323256406665,3.89225359481224
"sdha**",8.05979418270873,8.48606085374668,8.8325370698491,8.09578602987655,8.3558853667548,8.21573695256026,8.70361462680847,8.44966611802842,8.72368568963841,8.7548320243564,9.2358337091562,8.69644406708538,8.73264193950464,7.99339139646719,8.80039261096387,8.56319773154588,7.76154686839626,8.32031738618737,7.78167155214011,7.92596983961223,7.49362566266536,8.55508558444096,8.2394530447086,8.73975259370477,8.40700246246324,8.25965279713223,8.18457911678052,8.06314672328266,8.00619867969918,7.65034150211856,8.44883175405548,8.38710293050173,8.54876394460281,7.91248930562652,7.68695507985196,7.61888486090025,8.8467546779246,8.68825674268723,8.5180447309343,8.70173959380723,8.44393566517817,8.02461064965134,8.32005097364682,8.50987098661492,7.89358507903951
"mdh1aa**",9.89467778748462,10.1573520934914,10.5336969408391,10.0420712751455,10.1294528640379,10.1455788049955,9.74733222716521,9.97285048612705,10.3387493437735,10.0982184320154,10.3266731200749,10.154740729972,10.2517591356402,10.3619616627388,10.328921885366,9.82298877374667,10.0840312465196,10.0950564423305,9.09245515820136,10.1879032642251,8.94792577990927,10.0517338119467,9.75840111298081,10.009946724188,9.80234171719356,9.84369103419335,9.75792103449968,9.87276775542036,9.59677722723397,9.57115469786468,9.96030976097911,10.004807759169,10.3295690722355,9.89039122999835,9.98481712290053,9.26713593359727,10.5167013833336,10.3815152290865,10.0243772214365,10.2204900761904,9.89310108355156,10.0165346236838,9.42050633674132,10.3653287490179,9.75469516607544
