"","1S","10S","11S","13S","14S","15S","2S","20S","21S","23S","26S","3S","5S","6S","7S","1P1","10P1","11P1","13P1","14P1","15P1","2P1","20P1","21P1","23P1","26P1","3P1","5P1","6P1","7P1","1P2","10P2","11P2","13P2","14P2","15P2","2P2","20P2","21P2","23P2","26P2","3P2","5P2","6P2","7P2"
"tpi1a*",6.87230245744791,6.9087906383158,6.9054828048178,6.84086030045727,7.18257984894475,6.89463668220639,6.94532736683978,6.55547665223196,6.52299510361827,6.88445166751684,6.98948964119073,6.85450521607471,7.11075821047932,6.97061001549212,7.00477182954315,6.72253284573557,6.32546697758064,6.43989460998649,6.78678410102885,6.44351237517699,7.00023890220377,6.31824350586156,6.12688626907862,6.37193146489362,6.28218589614404,6.40847444675692,6.72228743567248,6.22167700007672,6.67864822354482,6.36671740435467,6.68870229514976,6.76725895148222,7.21834993435383,6.9465262443637,6.97491967117653,6.54241559023679,6.87231849860372,6.55875547815153,6.49611886719947,7.25866853107664,6.98003345461773,6.47874148415482,6.70603187879135,7.08070632794084,6.54215453507597
"eno2b*",7.80500304149771,7.72753605700044,7.84386848437012,8.24444303541297,7.66898115460487,7.60140084959302,8.27152036533512,7.80635514766833,7.29802008721938,7.98878757355012,7.9710966478019,7.7090550282998,7.73970561634053,7.68635488690585,8.09876727817799,7.55702132827109,7.25760019275134,7.68338805865386,7.29405193355525,6.57975942544044,6.60072108583049,7.68435097654452,6.87891754708849,7.12447354095596,6.77385530561136,6.7739009703265,8.27971521812407,7.65951354357397,7.19183666892071,7.47571052208729,8.24314117624478,8.18724441889886,7.89943688049919,7.46508988688231,7.30879267303598,7.6719788693523,7.67114385633838,7.26866334676695,7.63989852962859,8.12232586520967,7.67323352914304,8.29960875389086,7.35780810980017,8.0849105532668,7.36675983304583
"gapdhb**",9.20469762749502,9.45842857949436,9.62701280994354,9.04484418319819,9.20273244682501,9.46253666404776,8.5490730806398,9.84801889847075,9.72206752734091,9.27973569286178,9.86797384801238,9.22379751341727,9.62148225915841,9.28822463828936,9.37177848472938,9.08185887896728,8.95394885270436,9.31694219711233,8.37963252621373,9.26957076353661,7.49362566266536,8.8557709851224,8.65704280368749,9.13671723824036,9.60026741880603,8.96902008421388,9.27673289332385,8.84828120234579,8.78828709204352,9.0389100251371,8.51654859025762,9.2542407637911,9.49807125885529,9.41095704092359,9.09068017288344,8.41944688199494,9.82958307836823,10.0713528710411,8.68705908342653,9.56265045675856,9.42517314070334,9.143673169841,8.83880927345834,9.62455619979204,9.1112195149145
"aldob*",9.83998805076916,9.63310637283579,10.3259232598802,9.27755909122842,9.60931176674544,9.90564851374695,9.34163112020348,9.57169287270962,10.0594504384928,9.66633333690542,10.0933894624869,9.83107858863062,10.2531968035959,9.48020080050543,10.0256796707999,9.69442980680644,9.1723765077886,9.22570793102403,9.15696952161188,9.52043159763248,7.94980862611868,8.93185813155752,8.59589523613385,9.52544541121678,9.86580520991317,9.56828193091388,9.03163956729135,9.2536675940954,9.13212614248276,8.86361118220775,9.26463286363463,9.58252217430351,9.94170361212112,10.1636614664078,9.04681009512781,9.14494104723467,10.2459782860574,10.3066937512034,9.19463673017118,10.3235951315301,9.84338046464419,9.66247783362488,9.17456637177375,10.2385860694831,9.5458382856997
