"","1S","10S","11S","13S","14S","15S","2S","20S","21S","23S","26S","3S","5S","6S","7S","1P1","10P1","11P1","13P1","14P1","15P1","2P1","20P1","21P1","23P1","26P1","3P1","5P1","6P1","7P1","1P2","10P2","11P2","13P2","14P2","15P2","2P2","20P2","21P2","23P2","26P2","3P2","5P2","6P2","7P2"
"ghrl**",4.04397509225689,3.5044519335139,3.91830941234815,3.92157930686525,4.57975987262316,4.4046913325381,4.67356144429015,3.43063108579576,4.36337550993145,3.9501439774866,4.01948462051804,3.54369676481574,2.99111280625292,3.97294521176141,4.56672580081677,3.57248755306263,2.99111280625292,3.52119255561435,3.9400519231994,2.99111280625292,2.99111280625292,3.81138251044673,3.95978562688778,3.63525356979172,4.10915847222708,3.51436291401241,3.52492784066745,4.05195481324055,2.99111280625292,2.99111280625292,4.29167227128446,2.99111280625292,3.60435521736756,3.88194900274597,3.87927195716813,2.99111280625292,4.18492322955467,4.22689121721247,4.34997619753685,3.6023993172725,3.4866646317585,3.7541920310048,4.1800049310058,4.29913438133264,3.89225359481224
"cckb**",5.54330202504893,5.52562804629034,5.90395712515763,5.74201030910487,5.37508574288945,5.61283154460044,5.80995706442091,5.8753108256186,4.98826634458443,6.04373109785841,5.91902633563825,5.57398711063646,4.75086303955494,5.85451751534637,6.13884462940591,5.38802593103157,5.07347864318343,5.6251775366787,4.31093081914066,4.28572010499118,4.64766156523128,5.65214806011452,4.61371359790752,5.64652900164407,5.25102675001592,5.04529021960859,5.95953570397218,5.52359572818703,5.23971921218162,5.10967763720163,5.67797375970953,5.22343042371198,5.65467109387613,5.41206262938147,4.74175065559981,5.23921532516822,5.53061723722383,4.91038302443979,6.01539779193697,5.66908963125008,5.54719177028722,5.85973298507568,4.89588815745146,5.7468975254935,5.23740122978121
"irs2a**",6.69780517559048,6.4496806262121,6.83172093701,5.94636360518041,6.47263433099678,6.46414638004744,6.62823438033225,5.3623596924918,6.34016194042692,6.34801556057693,6.82868756352545,6.63079075506175,6.33553468333382,6.28976582766059,6.55012320552774,6.57089973820977,6.05586184670122,6.11403103418712,5.84780689101233,5.93219027221813,6.08943066801161,6.29392859178276,5.87147956394817,6.09071861066529,6.13359976750356,6.44425378630614,6.01049313391011,5.81686518385757,5.67744978322527,5.66551743393201,6.83385284027212,6.40269109895469,6.13793439400431,5.93120282830088,6.27198534582966,5.64243819282624,6.79919667323072,6.28276245518506,6.32293850971774,6.79390145852739,6.10819398715694,6.68566952881533,5.9475744102909,6.41139439204167,6.04908422692481
"insra**",6.66652900214077,6.75342607989066,7.04249128770504,7.02984543748733,6.85921384388277,6.79857436177369,7.02595478763199,6.68706633462325,7.05815439979524,6.95425284072436,6.94889460289036,7.0085929839753,7.08506914168344,6.79445195456439,6.98097377336661,6.8431541729671,6.47361280323023,6.79253204205145,6.49312729318045,6.90376506542203,6.37737080839394,6.80355507802475,6.50074663955503,6.59437217591686,6.6704146566429,6.89476685810839,6.91979119942944,6.77803027009568,6.77541502543676,6.72182597792635,6.98831066035664,6.89536162785798,7.00484956107522,6.79139733516102,6.94780890266469,6.60962774526453,6.79919667323072,6.48522320601261,7.07896147186152,7.08423268464402,6.86698727244033,6.83776222171318,6.82771908698055,7.21332765086134,6.78644307890565
