"","1S","10S","11S","13S","14S","15S","2S","20S","21S","23S","26S","3S","5S","6S","7S","1P1","10P1","11P1","13P1","14P1","15P1","2P1","20P1","21P1","23P1","26P1","3P1","5P1","6P1","7P1","1P2","10P2","11P2","13P2","14P2","15P2","2P2","20P2","21P2","23P2","26P2","3P2","5P2","6P2","7P2"
"sost*",5.54330202504893,5.5580762755981,5.96511312813461,5.77311304144703,5.57003473585493,5.40530026852862,5.51623918894376,5.6092585812989,5.74098466812757,5.7574558065983,5.71767628977594,5.24209978001919,5.77774229365488,5.64490706259021,5.55446502752362,5.38802593103157,5.85267637342631,5.48823549869503,5.90722311731385,5.50153483601678,5.84031062832275,5.53035407219231,5.96189996009999,5.38488878653488,5.93771313048254,5.86216383958705,5.50258500841062,5.84591101893747,5.8378637563498,5.9780200550108,5.24526463478571,5.09522027216413,5.63308641317086,5.51767448712925,5.48577154243915,5.04971562274157,5.25768778179841,5.55783615697605,5.45892266035661,5.38967774534104,5.42111489992755,5.57244857507848,5.06314625933033,5.47451411635699,5.6404205128535
"calua**",5.93882387328343,6.14898960760138,5.81799813120929,6.02552786993949,5.86813626995526,6.08170584717086,6.0521285048866,6.44812426063468,6.31200513122729,6.01099895825809,5.79432154426566,5.37634354439618,5.48805588178013,5.77958982956415,6.16037964610421,6.07277952393695,6.47361280323023,6.1591234697384,6.41423398650004,6.15942523599517,6.4674787570887,6.11087331705333,6.80847655753801,6.20683078219606,6.6704146566429,6.23523807157057,6.3232371341284,6.24348656952543,6.36224544492666,6.60106517418686,6.23431859344409,5.95867822614573,6.26792739833582,5.98653558036211,6.30102293144501,6.20758459982335,5.6488828633406,6.53466493218156,6.38304733392505,6.06868933847854,6.0040258439884,5.77045723944941,6.12581560475613,5.53991089571558,6.59126438553108
"anxa2a**",6.36861602062786,6.04015594176501,7.07021898099704,5.94636360518041,6.99743904708968,6.02568315203214,6.50465569562996,6.35862493883922,6.36776943862722,6.57626941657708,6.42794826327351,6.9817832716463,7.30121291104946,7.13730991348702,6.644299092062,7.34063795362071,7.42195305797448,6.96614506024422,7.46915131790729,6.80741514740175,7.39669583515369,7.17829769038908,7.17766200038278,6.81809830279505,6.65242074824748,7.33477826806833,5.70386803279104,7.2323544176565,7.68100981476486,6.92212871511798,6.1955249388983,6.81988626891554,6.74399266016509,6.781119003354,7.07015149618825,6.67380930144486,7.19057210156737,7.1314578512907,7.3195111002052,6.5350736901206,6.89032266680441,6.49718305301838,7.80436868081815,6.61779097889754,7.42183669107912
"col1a1a*",6.65062971666249,6.49958654844645,7.22618352312899,7.23014586342586,6.24977475970873,6.32101955013652,6.43858854520863,8.13144620674531,7.5698537543397,7.34011421403338,6.96527105909786,6.30125261256706,6.75081738252305,6.80689593216349,6.77482993314652,7.14048134838517,7.37993195383579,7.81456142618062,7.83527980153406,7.7128059438809,6.4674787570887,7.34026127954112,8.37102082572333,7.80934339673109,8.35816119781979,7.80005027240856,7.31958211267008,7.35659661834356,7.84539088217976,7.59745149229036,5.20538988644217,6.02813420545905,7.44707244508848,7.37938024957382,7.2285814814492,6.49577511959812,6.39740139270099,7.33264020142718,7.6761018351811,7.10723362431333,6.99086192354125,6.86632921466303,6.96656026949858,6.52623875573435,7.08884658529194
"col1a1b*",7.07608687818969,7.12474271969839,7.96668420823148,8.56462574288988,7.05131209404396,6.83131797420202,7.1441410996862,9.1786369951012,8.50089349202853,8.13823360153881,7.70551480925727,6.46588122817159,7.61086369424828,7.56018346788369,7.49056961537734,7.70029961568156,7.94547757107317,8.67488686579723,8.45000537918198,8.69188051469959,7.56833997323008,8.06507004973598,9.22437023225575,8.64707040576563,8.90695861023626,8.22435803298629,8.15699794645381,8.02002647289947,8.7374212904069,8.18610936620563,6.49561273456881,6.56607891330531,8.26037724514708,7.87928416826117,7.96378891457798,7.57495143862928,6.9973729601749,8.01669149036064,8.47078749803697,8.22027309131659,7.47201825049702,7.45984303030058,7.48310999913978,7.41312190987218,7.95081714805957
"col1a2*",10.5311053488394,10.3607959327852,11.2571586508395,11.5219359927716,10.8108017229416,10.1855044536708,10.6523434924202,12.0845623242478,11.6905474426301,11.5092292144237,11.036390246742,9.94088270974225,11.1997591248741,11.1269539317467,10.7345049494556,11.2815588174397,11.5500960258049,12.1388613030358,12.0763114892668,11.5734780184987,11.2609543043278,11.662794238157,12.476018288634,11.8339253969696,12.1382222413328,12.0401713201258,11.0728423384199,11.5136355105769,12.0065318520489,11.3970941461855,9.47141961222028,10.0548157631545,11.5463626913957,11.5542444749433,11.3905934361017,11.1485588896425,10.3757383445675,11.3615025693995,11.7110148227353,11.2751396228362,11.4697104304049,10.6966572000584,10.9920792641954,10.8923649880577,11.1434138201792
